Community Area,Primary Type,Year,Number of Reported Crimes
21,PUBLIC PEACE VIOLATION,2003,64772368
21,PUBLIC PEACE VIOLATION,2004,97834786
21,PUBLIC PEACE VIOLATION,2005,135111175
21,PUBLIC PEACE VIOLATION,2006,137730971
21,PUBLIC PEACE VIOLATION,2007,200916158
21,PUBLIC PEACE VIOLATION,2008,202607026
21,PUBLIC PEACE VIOLATION,2009,250413276
21,PUBLIC PEACE VIOLATION,2010,227138637
21,PUBLIC PEACE VIOLATION,2011,145826851
21,PUBLIC PEACE VIOLATION,2012,235928736
21,PUBLIC PEACE VIOLATION,2013,212014342
21,PUBLIC PEACE VIOLATION,2014,145751898
21,PUBLIC PEACE VIOLATION,2015,131516654
21,PUBLIC PEACE VIOLATION,2016,63316859
21,PUBLIC PEACE VIOLATION,2017,55281099
21,PUBLIC PEACE VIOLATION,2018,11250891
21,ROBBERY,2002,400969785
21,ROBBERY,2003,742806024
21,ROBBERY,2004,681370525
21,ROBBERY,2005,602360429
21,ROBBERY,2006,1035309742
21,ROBBERY,2007,846707177
21,ROBBERY,2008,899559645
21,ROBBERY,2009,1340586972
21,ROBBERY,2010,919843746
21,ROBBERY,2011,857181126
21,ROBBERY,2012,986697037
21,ROBBERY,2013,1023756519
21,ROBBERY,2014,728817087
21,ROBBERY,2015,902363724
21,ROBBERY,2016,889422609
21,ROBBERY,2017,1200478844
21,ROBBERY,2018,574364635
21,SEX OFFENSE,2002,56567520
21,SEX OFFENSE,2003,78415261
21,SEX OFFENSE,2004,61395660
21,SEX OFFENSE,2005,101024649
21,SEX OFFENSE,2006,102415067
21,SEX OFFENSE,2007,70730850
21,SEX OFFENSE,2008,131905357
21,SEX OFFENSE,2009,140089387
21,SEX OFFENSE,2010,110065086
21,SEX OFFENSE,2011,99283922
21,SEX OFFENSE,2012,103926127
21,SEX OFFENSE,2013,65369250
21,SEX OFFENSE,2014,136494067
21,SEX OFFENSE,2015,163433691
21,SEX OFFENSE,2016,96153337
21,SEX OFFENSE,2017,153752734
21,SEX OFFENSE,2018,67595144
21,STALKING,2002,2529666
21,STALKING,2003,2652426
21,STALKING,2004,3747909
21,STALKING,2005,12228333
21,STALKING,2006,14274308
21,STALKING,2007,11228681
21,STALKING,2009,6822353
21,STALKING,2010,30857755
21,STALKING,2011,15957070
21,STALKING,2012,26048855
21,STALKING,2013,18425318
21,STALKING,2014,9683302
21,STALKING,2015,30985274
21,STALKING,2017,21896078
21,THEFT,2001,49970472
21,THEFT,2002,2018450619
21,THEFT,2003,3615626371
21,THEFT,2004,4276629816
21,THEFT,2005,4075554818
21,THEFT,2006,4444557145
21,THEFT,2007,4313788562
21,THEFT,2008,5136967727
21,THEFT,2009,6025872063
21,THEFT,2010,6714301456
21,THEFT,2011,5743545551
21,THEFT,2012,6090938220
21,THEFT,2013,6226731176
21,THEFT,2014,6134679981
21,THEFT,2015,6452686780
21,THEFT,2016,6373657156
21,THEFT,2017,7389717887
21,THEFT,2018,2747007896
21,WEAPONS VIOLATION,2002,67792556
21,WEAPONS VIOLATION,2003,75838051
21,WEAPONS VIOLATION,2004,106459239
21,WEAPONS VIOLATION,2005,115058052
21,WEAPONS VIOLATION,2006,96409638
21,WEAPONS VIOLATION,2007,163869647
21,WEAPONS VIOLATION,2008,157746660
21,WEAPONS VIOLATION,2009,167469581
21,WEAPONS VIOLATION,2010,166602743
21,WEAPONS VIOLATION,2011,179997866
21,WEAPONS VIOLATION,2012,130508282
21,WEAPONS VIOLATION,2013,99968724
21,WEAPONS VIOLATION,2014,116008010
21,WEAPONS VIOLATION,2015,91381001
21,WEAPONS VIOLATION,2016,180395759
21,WEAPONS VIOLATION,2017,143531706
21,WEAPONS VIOLATION,2018,89944232
22,ARSON,2002,50548597
22,ARSON,2003,83078570
22,ARSON,2004,80485634
22,ARSON,2005,99591927
22,ARSON,2006,110572203
22,ARSON,2007,96207628
22,ARSON,2008,126400148
22,ARSON,2009,174859656
22,ARSON,2010,106301042
22,ARSON,2011,97023313
22,ARSON,2012,104904832
22,ARSON,2013,119624027
22,ARSON,2014,68053319
22,ARSON,2015,101955164
22,ARSON,2016,158523518
22,ARSON,2017,76821285
22,ARSON,2018,11209452
22,ASSAULT,2002,1168029918
22,ASSAULT,2003,1869625958
22,ASSAULT,2004,1976780023
22,ASSAULT,2005,2199308254
22,ASSAULT,2006,2653208059
22,ASSAULT,2007,3010259784
22,ASSAULT,2008,2959135135
22,ASSAULT,2009,2753079828
22,ASSAULT,2010,3031065548
22,ASSAULT,2011,2665506280
22,ASSAULT,2012,2658504073
22,ASSAULT,2013,2556081085
22,ASSAULT,2014,2486689263
22,ASSAULT,2015,2356528060
22,ASSAULT,2016,2976027231
22,ASSAULT,2017,3319061069
22,ASSAULT,2018,1171691668
22,BATTERY,2001,5468686
22,BATTERY,2002,3261090765
22,BATTERY,2003,4895718232
22,BATTERY,2004,5420083188
22,BATTERY,2005,6144570888
22,BATTERY,2006,7388146516
22,BATTERY,2007,7896024179
22,BATTERY,2008,8424854400
22,BATTERY,2009,8807964863
22,BATTERY,2010,8898364665
22,BATTERY,2011,8920216034
22,BATTERY,2012,8584527789
22,BATTERY,2013,8087004091
22,BATTERY,2014,8088612812
22,BATTERY,2015,6970366495
22,BATTERY,2016,7413509747
22,BATTERY,2017,7307831939
22,BATTERY,2018,2791448120
22,BURGLARY,2001,4117207
22,BURGLARY,2002,1615271060
22,BURGLARY,2003,2263568949
22,BURGLARY,2004,2796134435
22,BURGLARY,2005,2565310458
22,BURGLARY,2006,3584290409
22,BURGLARY,2007,4289372621
22,BURGLARY,2008,4710054547
22,BURGLARY,2009,4863826070
22,BURGLARY,2010,6087260958
22,BURGLARY,2011,6288024892
22,BURGLARY,2012,5951551760
22,BURGLARY,2013,4808179150
22,BURGLARY,2014,3533745547
22,BURGLARY,2015,2952047841
22,BURGLARY,2016,3824583754
22,BURGLARY,2017,3505192065
22,BURGLARY,2018,923481695
22,CRIM SEXUAL ASSAULT,2001,19884552
22,CRIM SEXUAL ASSAULT,2002,70936055
22,CRIM SEXUAL ASSAULT,2003,119519011
22,CRIM SEXUAL ASSAULT,2004,114701359
22,CRIM SEXUAL ASSAULT,2005,119387518
22,CRIM SEXUAL ASSAULT,2006,131752237
22,CRIM SEXUAL ASSAULT,2007,212428667
22,CRIM SEXUAL ASSAULT,2008,227554022
22,CRIM SEXUAL ASSAULT,2009,215305513
22,CRIM SEXUAL ASSAULT,2010,291927341
22,CRIM SEXUAL ASSAULT,2011,231287784
22,CRIM SEXUAL ASSAULT,2012,261314182
22,CRIM SEXUAL ASSAULT,2013,205413911
22,CRIM SEXUAL ASSAULT,2014,245026807
22,CRIM SEXUAL ASSAULT,2015,315611503
22,CRIM SEXUAL ASSAULT,2016,296648272
22,CRIM SEXUAL ASSAULT,2017,274512112
22,CRIM SEXUAL ASSAULT,2018,90245920
22,CRIMINAL DAMAGE,2001,2114899
22,CRIMINAL DAMAGE,2002,2487367857
22,CRIMINAL DAMAGE,2003,3802554380
22,CRIMINAL DAMAGE,2004,3959527591
22,CRIMINAL DAMAGE,2005,4663354252
22,CRIMINAL DAMAGE,2006,6536879095
22,CRIMINAL DAMAGE,2007,6721261106
22,CRIMINAL DAMAGE,2008,7762312043
22,CRIMINAL DAMAGE,2009,8495674105
22,CRIMINAL DAMAGE,2010,7425509481
22,CRIMINAL DAMAGE,2011,7321271585
22,CRIMINAL DAMAGE,2012,6532778401
22,CRIMINAL DAMAGE,2013,6160925489
22,CRIMINAL DAMAGE,2014,5931767115
22,CRIMINAL DAMAGE,2015,5880913484
22,CRIMINAL DAMAGE,2016,6919093102
22,CRIMINAL DAMAGE,2017,5771173067
22,CRIMINAL DAMAGE,2018,2173822649
22,CRIMINAL TRESPASS,2002,294480670
22,CRIMINAL TRESPASS,2003,578964798
22,CRIMINAL TRESPASS,2004,780439993
22,CRIMINAL TRESPASS,2005,783068204
22,CRIMINAL TRESPASS,2006,827639602
22,CRIMINAL TRESPASS,2007,1056125672
22,CRIMINAL TRESPASS,2008,1085049155
22,CRIMINAL TRESPASS,2009,1211867387
22,CRIMINAL TRESPASS,2010,1163862374
22,CRIMINAL TRESPASS,2011,887939303
22,CRIMINAL TRESPASS,2012,1101332851
22,CRIMINAL TRESPASS,2013,1012228690
22,CRIMINAL TRESPASS,2014,756196776
22,CRIMINAL TRESPASS,2015,970424647
22,CRIMINAL TRESPASS,2016,1280417335
22,CRIMINAL TRESPASS,2017,953884711
22,CRIMINAL TRESPASS,2018,315552870
22,DECEPTIVE PRACTICE,2001,63819314
22,DECEPTIVE PRACTICE,2002,648036650
22,DECEPTIVE PRACTICE,2003,903248948
22,DECEPTIVE PRACTICE,2004,960805970
22,DECEPTIVE PRACTICE,2005,1148491129
22,DECEPTIVE PRACTICE,2006,1412176322
22,DECEPTIVE PRACTICE,2007,1646645396
22,DECEPTIVE PRACTICE,2008,1955490951
22,DECEPTIVE PRACTICE,2009,1941465889
22,DECEPTIVE PRACTICE,2010,1840318339
22,DECEPTIVE PRACTICE,2011,1790838176
22,DECEPTIVE PRACTICE,2012,1815506324
22,DECEPTIVE PRACTICE,2013,2036522176
22,DECEPTIVE PRACTICE,2014,2373964119
22,DECEPTIVE PRACTICE,2015,2881510502
22,DECEPTIVE PRACTICE,2016,4389728717
22,DECEPTIVE PRACTICE,2017,4186829011
22,DECEPTIVE PRACTICE,2018,1373838461
22,GAMBLING,2002,6729172
22,GAMBLING,2003,31780203
22,GAMBLING,2004,17579043
22,GAMBLING,2005,8826656
22,GAMBLING,2006,9652675
22,GAMBLING,2008,18497733
22,GAMBLING,2009,7563501
22,GAMBLING,2010,7500895
22,GAMBLING,2011,8245041
22,GAMBLING,2014,9500386
22,HOMICIDE,2001,13214
22,HOMICIDE,2002,20375
22,HOMICIDE,2003,40182
22,HOMICIDE,2004,24647
22,HOMICIDE,2005,31924
22,HOMICIDE,2006,28919
22,HOMICIDE,2007,20433
22,HOMICIDE,2008,31735
22,HOMICIDE,2009,58606
22,HOMICIDE,2010,39194
22,HOMICIDE,2011,39975
22,HOMICIDE,2012,40804
22,HOMICIDE,2013,84359
22,HOMICIDE,2014,149840
22,HOMICIDE,2015,175467
22,HOMICIDE,2016,10830986
22,HOMICIDE,2017,117026
22,HOMICIDE,2018,71555
22,INTERFERENCE WITH PUBLIC OFFICER,2002,14398119
22,INTERFERENCE WITH PUBLIC OFFICER,2003,40565994
22,INTERFERENCE WITH PUBLIC OFFICER,2004,23808642
22,INTERFERENCE WITH PUBLIC OFFICER,2005,37261426
22,INTERFERENCE WITH PUBLIC OFFICER,2006,97672625
22,INTERFERENCE WITH PUBLIC OFFICER,2007,33651199
22,INTERFERENCE WITH PUBLIC OFFICER,2008,70316752
22,INTERFERENCE WITH PUBLIC OFFICER,2009,49609329
22,INTERFERENCE WITH PUBLIC OFFICER,2010,83031048
22,INTERFERENCE WITH PUBLIC OFFICER,2011,89764927
22,INTERFERENCE WITH PUBLIC OFFICER,2012,164209060
22,INTERFERENCE WITH PUBLIC OFFICER,2013,165279857
22,INTERFERENCE WITH PUBLIC OFFICER,2014,116202949
22,INTERFERENCE WITH PUBLIC OFFICER,2015,112228641
22,INTERFERENCE WITH PUBLIC OFFICER,2016,52745708
22,INTERFERENCE WITH PUBLIC OFFICER,2017,22032095
22,INTERFERENCE WITH PUBLIC OFFICER,2018,33764921
22,INTIMIDATION,2002,4726654
22,INTIMIDATION,2003,24932162
22,INTIMIDATION,2004,30599378
22,INTIMIDATION,2005,41365760
22,INTIMIDATION,2006,63616512
22,INTIMIDATION,2007,32625285
22,INTIMIDATION,2008,19218642
22,INTIMIDATION,2009,7083566
22,INTIMIDATION,2010,22585251
22,INTIMIDATION,2011,32875954
22,INTIMIDATION,2012,17112884
22,INTIMIDATION,2013,27506877
22,INTIMIDATION,2015,10369744
22,INTIMIDATION,2016,21116926
22,INTIMIDATION,2017,10814156
22,KIDNAPPING,2002,30128562
22,KIDNAPPING,2003,46838272
22,KIDNAPPING,2004,50148306
22,KIDNAPPING,2005,50901428
22,KIDNAPPING,2006,62709516
22,KIDNAPPING,2007,34509125
22,KIDNAPPING,2008,38706981
22,KIDNAPPING,2009,70427088
22,KIDNAPPING,2010,60967965
22,KIDNAPPING,2011,57131998
22,KIDNAPPING,2012,43275511
22,KIDNAPPING,2014,28578785
22,KIDNAPPING,2015,20288810
22,KIDNAPPING,2016,42511864
22,KIDNAPPING,2017,21849560
22,KIDNAPPING,2018,11307048
22,LIQUOR LAW VIOLATION,2002,63416151
22,LIQUOR LAW VIOLATION,2003,151100174
22,LIQUOR LAW VIOLATION,2004,174331969
22,LIQUOR LAW VIOLATION,2005,123858562
22,LIQUOR LAW VIOLATION,2006,176354853
22,LIQUOR LAW VIOLATION,2007,238944146
22,LIQUOR LAW VIOLATION,2008,245662463
22,LIQUOR LAW VIOLATION,2009,153424017
22,LIQUOR LAW VIOLATION,2010,272527050
22,LIQUOR LAW VIOLATION,2011,170067808
22,LIQUOR LAW VIOLATION,2012,174491385
22,LIQUOR LAW VIOLATION,2013,100699470
22,LIQUOR LAW VIOLATION,2014,116134320
22,LIQUOR LAW VIOLATION,2015,100614605
22,LIQUOR LAW VIOLATION,2016,31332089
22,LIQUOR LAW VIOLATION,2017,66210971
22,LIQUOR LAW VIOLATION,2018,33901668
22,MOTOR VEHICLE THEFT,2001,44214538
22,MOTOR VEHICLE THEFT,2002,1463678648
22,MOTOR VEHICLE THEFT,2003,1874807422
22,MOTOR VEHICLE THEFT,2004,2277370604
22,MOTOR VEHICLE THEFT,2005,2646180804
22,MOTOR VEHICLE THEFT,2006,2731881760
22,MOTOR VEHICLE THEFT,2007,2924997056
22,MOTOR VEHICLE THEFT,2008,3117124163
22,MOTOR VEHICLE THEFT,2009,3627396164
22,MOTOR VEHICLE THEFT,2010,4922935212
22,MOTOR VEHICLE THEFT,2011,5244361979
22,MOTOR VEHICLE THEFT,2012,5436327958
22,MOTOR VEHICLE THEFT,2013,3636794208
22,MOTOR VEHICLE THEFT,2014,2650222535
22,MOTOR VEHICLE THEFT,2015,2701115312
22,MOTOR VEHICLE THEFT,2016,3422355915
22,MOTOR VEHICLE THEFT,2017,2800991261
22,MOTOR VEHICLE THEFT,2018,945059176
22,NARCOTICS,2002,870087483
22,NARCOTICS,2003,1787796606
22,NARCOTICS,2004,2283609165
22,NARCOTICS,2005,2598369842
22,NARCOTICS,2006,3343652542
22,NARCOTICS,2007,3641859188
22,NARCOTICS,2008,3658421628
22,NARCOTICS,2009,3763102924
22,NARCOTICS,2010,3282651483
22,NARCOTICS,2011,2446320338
22,NARCOTICS,2012,2928237429
22,NARCOTICS,2013,2113489566
22,NARCOTICS,2014,1704777735
22,NARCOTICS,2015,1478656299
22,NARCOTICS,2016,992693836
22,NARCOTICS,2017,659544832
22,NARCOTICS,2018,292668715
22,NON - CRIMINAL,2015,10125981
22,NON-CRIMINAL,2015,10579978
22,NON-CRIMINAL,2016,10725803
22,NON-CRIMINAL,2017,10955485
22,OBSCENITY,2004,3312889
22,OBSCENITY,2005,3950566
22,OBSCENITY,2007,5439978
22,OBSCENITY,2009,6996095
22,OBSCENITY,2010,26612420
22,OBSCENITY,2017,22222672
22,OFFENSE INVOLVING CHILDREN,2001,40949603
22,OFFENSE INVOLVING CHILDREN,2002,158486087
22,OFFENSE INVOLVING CHILDREN,2003,196700784
22,OFFENSE INVOLVING CHILDREN,2004,247921741
22,OFFENSE INVOLVING CHILDREN,2005,278380542
22,OFFENSE INVOLVING CHILDREN,2006,300711821
22,OFFENSE INVOLVING CHILDREN,2007,341159462
22,OFFENSE INVOLVING CHILDREN,2008,367094522
22,OFFENSE INVOLVING CHILDREN,2009,467789485
22,OFFENSE INVOLVING CHILDREN,2010,526087583
22,OFFENSE INVOLVING CHILDREN,2011,492071139
22,OFFENSE INVOLVING CHILDREN,2012,341215906
22,OFFENSE INVOLVING CHILDREN,2013,554456957
22,OFFENSE INVOLVING CHILDREN,2014,431641221
22,OFFENSE INVOLVING CHILDREN,2015,491685676
22,OFFENSE INVOLVING CHILDREN,2016,457560990
22,OFFENSE INVOLVING CHILDREN,2017,243197064
22,OFFENSE INVOLVING CHILDREN,2018,101374965
22,OTHER NARCOTIC VIOLATION,2003,2588212
22,OTHER NARCOTIC VIOLATION,2008,12516083
22,OTHER NARCOTIC VIOLATION,2011,8246551
22,OTHER OFFENSE,2001,7854026
22,OTHER OFFENSE,2002,1139959003
22,OTHER OFFENSE,2003,1823709473
22,OTHER OFFENSE,2004,2160823592
22,OTHER OFFENSE,2005,2654593624
22,OTHER OFFENSE,2006,2754137767
22,OTHER OFFENSE,2007,3036628667
22,OTHER OFFENSE,2008,3079975568
22,OTHER OFFENSE,2009,3673831345
22,OTHER OFFENSE,2010,3371006333
22,OTHER OFFENSE,2011,2863810253
22,OTHER OFFENSE,2012,2775263746
22,OTHER OFFENSE,2013,2878521240
22,OTHER OFFENSE,2014,2700832994
22,OTHER OFFENSE,2015,2423777201
22,OTHER OFFENSE,2016,2729782050
22,OTHER OFFENSE,2017,2742012047
22,OTHER OFFENSE,2018,1081478314
22,PROSTITUTION,2002,758956345
22,PROSTITUTION,2003,854746234
22,PROSTITUTION,2004,1161483882
22,PROSTITUTION,2005,965351735
22,PROSTITUTION,2006,637540974
22,PROSTITUTION,2007,552920595
22,PROSTITUTION,2008,383018371
22,PROSTITUTION,2009,316240012
22,PROSTITUTION,2010,106093092
22,PROSTITUTION,2011,48958272
22,PROSTITUTION,2012,52012589
22,PROSTITUTION,2013,18745809
22,PROSTITUTION,2014,9889776
22,PROSTITUTION,2015,30511493
22,PUBLIC INDECENCY,2007,5647721
22,PUBLIC INDECENCY,2009,7107313
22,PUBLIC INDECENCY,2012,8478495
22,PUBLIC PEACE VIOLATION,2002,147776177
22,PUBLIC PEACE VIOLATION,2003,216620662
22,PUBLIC PEACE VIOLATION,2004,165207348
22,PUBLIC PEACE VIOLATION,2005,240453824
22,PUBLIC PEACE VIOLATION,2006,313381108
22,PUBLIC PEACE VIOLATION,2007,430978405
22,PUBLIC PEACE VIOLATION,2008,405515921
22,PUBLIC PEACE VIOLATION,2009,349161483
22,PUBLIC PEACE VIOLATION,2010,303743076
22,PUBLIC PEACE VIOLATION,2011,333793271
22,PUBLIC PEACE VIOLATION,2012,450337186
22,PUBLIC PEACE VIOLATION,2013,321394333
22,PUBLIC PEACE VIOLATION,2014,417139668
22,PUBLIC PEACE VIOLATION,2015,233689338
22,PUBLIC PEACE VIOLATION,2016,264699436
22,PUBLIC PEACE VIOLATION,2017,176091488
22,PUBLIC PEACE VIOLATION,2018,67547193
22,RITUALISM,2006,5070910
22,ROBBERY,2001,9189310
22,ROBBERY,2002,837970812
22,ROBBERY,2003,1236127812
22,ROBBERY,2004,1272305147
22,ROBBERY,2005,1502690679
22,ROBBERY,2006,1612468346
22,ROBBERY,2007,1646637385
22,ROBBERY,2008,1851028638
22,ROBBERY,2009,2427979716
22,ROBBERY,2010,2424936463
22,ROBBERY,2011,2150723544
22,ROBBERY,2012,2016118183
22,ROBBERY,2013,1900506196
22,ROBBERY,2014,1524697933
22,ROBBERY,2015,1613952284
22,ROBBERY,2016,2268748670
22,ROBBERY,2017,2878423832
22,ROBBERY,2018,607693056
22,SEX OFFENSE,2001,21436149
22,SEX OFFENSE,2002,115036009
22,SEX OFFENSE,2003,228298769
22,SEX OFFENSE,2004,126989064
22,SEX OFFENSE,2005,219376151
22,SEX OFFENSE,2006,173715450
22,SEX OFFENSE,2007,233027115
22,SEX OFFENSE,2008,206495353
22,SEX OFFENSE,2009,265954334
22,SEX OFFENSE,2010,216785287
22,SEX OFFENSE,2011,189188429
22,SEX OFFENSE,2012,153381062
22,SEX OFFENSE,2013,175871873
22,SEX OFFENSE,2014,275439300
22,SEX OFFENSE,2015,235752414
22,SEX OFFENSE,2016,180378150
22,SEX OFFENSE,2017,264763419
22,SEX OFFENSE,2018,78992835
22,STALKING,2002,6772550
22,STALKING,2003,11275874
22,STALKING,2004,16847760
22,STALKING,2005,33577179
22,STALKING,2006,28631052
22,STALKING,2007,21961441
22,STALKING,2008,13054784
22,STALKING,2009,14228268
22,STALKING,2010,7650769
22,STALKING,2011,48547211
22,STALKING,2012,51508176
22,STALKING,2013,55511514
22,STALKING,2014,38979349
22,STALKING,2015,51468554
22,STALKING,2018,11314008
22,THEFT,2001,176402019
22,THEFT,2002,5426948810
22,THEFT,2003,8947000557
22,THEFT,2004,10159145478
22,THEFT,2005,9685098508
22,THEFT,2006,11477948823
22,THEFT,2007,13570351257
22,THEFT,2008,15734121276
22,THEFT,2009,16911886820
22,THEFT,2010,17285763983
22,THEFT,2011,17046846289
22,THEFT,2012,17177329957
22,THEFT,2013,16756600913
22,THEFT,2014,15601733340
22,THEFT,2015,16486002796
22,THEFT,2016,19800661420
22,THEFT,2017,19781886567
22,THEFT,2018,6654223566
22,WEAPONS VIOLATION,2002,126450474
22,WEAPONS VIOLATION,2003,229713698
22,WEAPONS VIOLATION,2004,312668038
22,WEAPONS VIOLATION,2005,295650626
22,WEAPONS VIOLATION,2006,331706968
22,WEAPONS VIOLATION,2007,250932413
22,WEAPONS VIOLATION,2008,365432476
22,WEAPONS VIOLATION,2009,364343957
22,WEAPONS VIOLATION,2010,324946565
22,WEAPONS VIOLATION,2011,325542766
22,WEAPONS VIOLATION,2012,295780356
22,WEAPONS VIOLATION,2013,193508075
22,WEAPONS VIOLATION,2014,260662228
22,WEAPONS VIOLATION,2015,244059266
22,WEAPONS VIOLATION,2016,306788411
22,WEAPONS VIOLATION,2017,383929477
22,WEAPONS VIOLATION,2018,135082237
23,ARSON,2002,92177298
23,ARSON,2003,88982346
23,ARSON,2004,124490302
23,ARSON,2005,102427483
23,ARSON,2006,170954124
23,ARSON,2007,225102398
23,ARSON,2008,192788919
23,ARSON,2009,204739755
23,ARSON,2010,136212623
23,ARSON,2011,269027579
23,ARSON,2012,224708052
23,ARSON,2013,164912378
23,ARSON,2014,136250146
23,ARSON,2015,173644892
23,ARSON,2016,169615450
23,ARSON,2017,209661167
23,ARSON,2018,11234773
23,ASSAULT,2001,13481902
23,ASSAULT,2002,1698826243
23,ASSAULT,2003,2882665817
23,ASSAULT,2004,3101925423
23,ASSAULT,2005,3540581861
23,ASSAULT,2006,3924414790
23,ASSAULT,2007,4492858093
23,ASSAULT,2008,5157879653
23,ASSAULT,2009,5459774523
23,ASSAULT,2010,5445485025
23,ASSAULT,2011,5810904405
23,ASSAULT,2012,5492261487
23,ASSAULT,2013,5081452879
23,ASSAULT,2014,5155831139
23,ASSAULT,2015,5690431466
23,ASSAULT,2016,6414901528
23,ASSAULT,2017,7265234809
23,ASSAULT,2018,2601387819
23,BATTERY,2001,71894658
23,BATTERY,2002,5572971288
23,BATTERY,2003,8475888530
23,BATTERY,2004,9881500711
23,BATTERY,2005,12417794088
23,BATTERY,2006,13796673907
23,BATTERY,2007,14649278627
23,BATTERY,2008,16822961941
23,BATTERY,2009,17596892257
23,BATTERY,2010,17864497638
23,BATTERY,2011,18345685778
23,BATTERY,2012,17498962483
23,BATTERY,2013,16804236493
23,BATTERY,2014,16399933544
23,BATTERY,2015,17251988060
23,BATTERY,2016,17765619469
23,BATTERY,2017,17238371025
23,BATTERY,2018,6733370641
23,BURGLARY,2001,1906045
23,BURGLARY,2002,866487075
23,BURGLARY,2003,1494604304
23,BURGLARY,2004,2023605688
23,BURGLARY,2005,2267959535
23,BURGLARY,2006,2976582712
23,BURGLARY,2007,3352740911
23,BURGLARY,2008,3702542015
23,BURGLARY,2009,4318128678
23,BURGLARY,2010,4686708738
23,BURGLARY,2011,4749652328
23,BURGLARY,2012,5099859898
23,BURGLARY,2013,3981183753
23,BURGLARY,2014,2778892346
23,BURGLARY,2015,2913865037
23,BURGLARY,2016,3486688023
23,BURGLARY,2017,3562945387
23,BURGLARY,2018,945696239
23,CONCEALED CARRY LICENSE VIOLATION,2014,9593189
23,CRIM SEXUAL ASSAULT,2001,26734425
23,CRIM SEXUAL ASSAULT,2002,120540906
23,CRIM SEXUAL ASSAULT,2003,165104048
23,CRIM SEXUAL ASSAULT,2004,184454976
23,CRIM SEXUAL ASSAULT,2005,229999333
23,CRIM SEXUAL ASSAULT,2006,173869112
23,CRIM SEXUAL ASSAULT,2007,171863769
23,CRIM SEXUAL ASSAULT,2008,362114952
23,CRIM SEXUAL ASSAULT,2009,263283758
23,CRIM SEXUAL ASSAULT,2010,290243413
23,CRIM SEXUAL ASSAULT,2011,410013919
23,CRIM SEXUAL ASSAULT,2012,311604728
23,CRIM SEXUAL ASSAULT,2013,407634803
23,CRIM SEXUAL ASSAULT,2014,420898054
23,CRIM SEXUAL ASSAULT,2015,439560095
23,CRIM SEXUAL ASSAULT,2016,446840016
23,CRIM SEXUAL ASSAULT,2017,661411455
23,CRIM SEXUAL ASSAULT,2018,157739541
23,CRIMINAL DAMAGE,2001,21708815
23,CRIMINAL DAMAGE,2002,2522357499
23,CRIMINAL DAMAGE,2003,3855109800
23,CRIMINAL DAMAGE,2004,4446526115
23,CRIMINAL DAMAGE,2005,5781744501
23,CRIMINAL DAMAGE,2006,6903787297
23,CRIMINAL DAMAGE,2007,7226405778
23,CRIMINAL DAMAGE,2008,8333240241
23,CRIMINAL DAMAGE,2009,8440894079
23,CRIMINAL DAMAGE,2010,8071001975
23,CRIMINAL DAMAGE,2011,8003843372
23,CRIMINAL DAMAGE,2012,8810694349
23,CRIMINAL DAMAGE,2013,7490042419
23,CRIMINAL DAMAGE,2014,6901217325
23,CRIMINAL DAMAGE,2015,7663494325
23,CRIMINAL DAMAGE,2016,8833399675
23,CRIMINAL DAMAGE,2017,8889194232
23,CRIMINAL DAMAGE,2018,2533625225
23,CRIMINAL TRESPASS,2002,375207776
23,CRIMINAL TRESPASS,2003,780311117
23,CRIMINAL TRESPASS,2004,874981859
23,CRIMINAL TRESPASS,2005,1013172829
23,CRIMINAL TRESPASS,2006,958715670
23,CRIMINAL TRESPASS,2007,1220108881
23,CRIMINAL TRESPASS,2008,1359513866
23,CRIMINAL TRESPASS,2009,1359458658
23,CRIMINAL TRESPASS,2010,1348640386
23,CRIMINAL TRESPASS,2011,1409606879
23,CRIMINAL TRESPASS,2012,1557039698
23,CRIMINAL TRESPASS,2013,1514847571
23,CRIMINAL TRESPASS,2014,1480322271
23,CRIMINAL TRESPASS,2015,1367994227
23,CRIMINAL TRESPASS,2016,1398694072
23,CRIMINAL TRESPASS,2017,1669306736
23,CRIMINAL TRESPASS,2018,642049468
23,DECEPTIVE PRACTICE,2001,20983225
23,DECEPTIVE PRACTICE,2002,377796244
23,DECEPTIVE PRACTICE,2003,541990986
23,DECEPTIVE PRACTICE,2004,688570321
23,DECEPTIVE PRACTICE,2005,939327344
23,DECEPTIVE PRACTICE,2006,1153753440
23,DECEPTIVE PRACTICE,2007,1477428286
23,DECEPTIVE PRACTICE,2008,1549650359
23,DECEPTIVE PRACTICE,2009,1532601570
23,DECEPTIVE PRACTICE,2010,1591085147
23,DECEPTIVE PRACTICE,2011,1513809184
23,DECEPTIVE PRACTICE,2012,1829289891
23,DECEPTIVE PRACTICE,2013,1795065901
23,DECEPTIVE PRACTICE,2014,2834139698
23,DECEPTIVE PRACTICE,2015,2857828458
23,DECEPTIVE PRACTICE,2016,3032501210
23,DECEPTIVE PRACTICE,2017,3486280271
23,DECEPTIVE PRACTICE,2018,956869659
23,GAMBLING,2001,2308367
23,GAMBLING,2002,103181370
23,GAMBLING,2003,194072772
23,GAMBLING,2004,149928968
23,GAMBLING,2005,210881266
23,GAMBLING,2006,487096311
23,GAMBLING,2007,582483009
23,GAMBLING,2008,571096476
23,GAMBLING,2009,576650809
23,GAMBLING,2010,578585109
23,GAMBLING,2011,327031188
